0000..002C  ; DISALLOWED  # <control>..COMMA
0B3C..0B44  ; PVALID      # ORIYA SIGN NUKTA..ORIYA VOWEL SIGN VOCALIC R
0B45..0B46  ; UNASSIGNED  # <reserved>..<reserved>
0B47..0B48  ; PVALID      # ORIYA VOWEL SIGN E..ORIYA VOWEL SIGN AI
0B49..0B4A  ; UNASSIGNED  # <reserved>..<reserved>
0B4B..0B4D  ; PVALID      # ORIYA VOWEL SIGN O..ORIYA SIGN VIRAMA
0B4E..0B55  ; UNASSIGNED  # <reserved>..<reserved>
0B56..0B57  ; PVALID      # ORIYA AI LENGTH MARK..ORIYA AU LENGTH MARK
0B58..0B5B  ; UNASSIGNED  # <reserved>..<reserved>
0B5C..0B5D  ; DISALLOWED  # ORIYA LETTER RRA..ORIYA LETTER RHA
0B5E        ; UNASSIGNED  # <reserved>
0B5F..0B63  ; PVALID      # ORIYA LETTER YYA..ORIYA VOWEL SIGN VOCALIC L
0B64..0B65  ; UNASSIGNED  # <reserved>..<reserved>
0B66..0B6F  ; PVALID      # ORIYA DIGIT ZERO..ORIYA DIGIT NINE
0B70        ; DISALLOWED  # ORIYA ISSHAR
0B71        ; PVALID      # ORIYA LETTER WA
0B72..0B81  ; UNASSIGNED  # <reserved>..<reserved>
0B82..0B83  ; PVALID      # TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B84        ; UNASSIGNED  # <reserved>
0B85..0B8A  ; PVALID      # TAMIL LETTER A..TAMIL LETTER UU
0B8B..0B8D  ; UNASSIGNED  # <reserved>..<reserved>
0B8E..0B90  ; PVALID      # TAMIL LETTER E..TAMIL LETTER AI
0B91        ; UNASSIGNED  # <reserved>
0B92..0B95  ; PVALID      # TAMIL LETTER O..TAMIL LETTER KA
0B96..0B98  ; UNASSIGNED  # <reserved>..<reserved>
0B99..0B9A  ; PVALID      # TAMIL LETTER NGA..TAMIL LETTER CA
0B9B        ; UNASSIGNED  # <reserved>
0B9C        ; PVALID      # TAMIL LETTER JA
0B9D        ; UNASSIGNED  # <reserved>
0B9E..0B9F  ; PVALID      # TAMIL LETTER NYA..TAMIL LETTER TTA
0BA0..0BA2  ; UNASSIGNED  # <reserved>..<reserved>
0BA3..0BA4  ; PVALID      # TAMIL LETTER NNA..TAMIL LETTER TA
0BA5..0BA7  ; UNASSIGNED  # <reserved>..<reserved>
0BA8..0BAA  ; PVALID      # TAMIL LETTER NA..TAMIL LETTER PA
0BAB..0BAD  ; UNASSIGNED  # <reserved>..<reserved>
0BAE..0BB9  ; PVALID      # TAMIL LETTER MA..TAMIL LETTER HA
0BBA..0BBD  ; UNASSIGNED  # <reserved>..<reserved>
0BBE..0BC2  ; PVALID      # TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC3..0BC5  ; UNASSIGNED  # <reserved>..<reserved>
0BC6..0BC8  ; PVALID      # TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BC9        ; UNASSIGNED  # <reserved>
0BCA..0BCD  ; PVALID      # TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BCE..0BCF  ; UNASSIGNED  # <reserved>..<reserved>
0BD0        ; PVALID      # TAMIL OM
0BD1..0BD6  ; UNASSIGNED  # <reserved>..<reserved>
0BD7        ; PVALID      # TAMIL AU LENGTH MARK
0BD8..0BE5  ; UNASSIGNED  # <reserved>..<reserved>
0BE6..0BEF  ; PVALID      # TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0..0BFA  ; DISALLOWED  # TAMIL NUMBER TEN..TAMIL NUMBER SIGN
0BFB..0C00  ; UNASSIGNED  # <reserved>..<reserved>
0C01..0C03  ; PVALID      # TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C04        ; UNASSIGNED  # <reserved>
0C05..0C0C  ; PVALID      # TELUGU LETTER A..TELUGU LETTER VOCALIC L
0C0D        ; UNASSIGNED  # <reserved>
0C0E..0C10  ; PVALID      # TELUGU LETTER E..TELUGU LETTER AI
0C11        ; UNASSIGNED  # <reserved>
0C12..0C28  ; PVALID      # TELUGU LETTER O..TELUGU LETTER NA
0C29        ; UNASSIGNED  # <reserved>
0C2A..0C33  ; PVALID      # TELUGU LETTER PA..TELUGU LETTER LLA
0C34        ; UNASSIGNED  # <reserved>
0C35..0C39  ; PVALID      # TELUGU LETTER VA..TELUGU LETTER HA
0C3A..0C3C  ; UNASSIGNED  # <reserved>..<reserved>
0C3D..0C44  ; PVALID      # TELUGU SIGN AVAGRAHA..TELUGU VOWEL SIGN VOCA
0C45        ; UNASSIGNED  # <reserved>
0C46..0C48  ; PVALID      # TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C49        ; UNASSIGNED  # <reserved>
0C4A..0C4D  ; PVALID      # TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C4E..0C54  ; UNASSIGNED  # <reserved>..<reserved>
0C55..0C56  ; PVALID      # TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C57        ; UNASSIGNED  # <reserved>
0C58..0C59  ; PVALID      # TELUGU LETTER TSA..TELUGU LETTER DZA
0C5A..0C5F  ; UNASSIGNED  # <reserved>..<reserved>
0C60..0C63  ; PVALID      # TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN
0C64..0C65  ; UNASSIGNED  # <reserved>..<reserved>
0C66..0C6F  ; PVALID      # TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C70..0C77  ; UNASSIGNED  # <reserved>..<reserved>
0C78..0C7F  ; DISALLOWED  # TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF
0C80..0C81  ; UNASSIGNED  # <reserved>..<reserved>
0C82..0C83  ; PVALID      # KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C84        ; UNASSIGNED  # <reserved>
0C85..0C8C  ; PVALID      # KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8D        ; UNASSIGNED  # <reserved>
0C8E..0C90  ; PVALID      # KANNADA LETTER E..KANNADA LETTER AI
0C91        ; UNASSIGNED  # <reserved>
0C92..0CA8  ; PVALID      # KANNADA LETTER O..KANNADA LETTER NA
0CA9        ; UNASSIGNED  # <reserved>
0CAA..0CB3  ; PVALID      # KANNADA LETTER PA..KANNADA LETTER LLA
0CB4        ; UNASSIGNED  # <reserved>
0CB5..0CB9  ; PVALID      # KANNADA LETTER VA..KANNADA LETTER HA
0CBA..0CBB  ; UNASSIGNED  # <reserved>..<reserved>
0CBC..0CC4  ; PVALID      # KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCAL
0CC5        ; UNASSIGNED  # <reserved>
0CC6..0CC8  ; PVALID      # KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CC9        ; UNASSIGNED  # <reserved>
0CCA..0CCD  ; PVALID      # KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CCE..0CD4  ; UNASSIGNED  # <reserved>..<reserved>
0CD5..0CD6  ; PVALID      # KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CD7..0CDD  ; UNASSIGNED  # <reserved>..<reserved>
0CDE        ; PVALID      # KANNADA LETTER FA
0CDF        ; UNASSIGNED  # <reserved>
0CE0..0CE3  ; PVALID      # KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIG
0CE4..0CE5  ; UNASSIGNED  # <reserved>..<reserved>
0CE6..0CEF  ; PVALID      # KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF0        ; UNASSIGNED  # <reserved>
0CF1..0CF2  ; DISALLOWED  # KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADH
0CF3..0D01  ; UNASSIGNED  # <reserved>..<reserved>
0D02..0D03  ; PVALID      # MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISA
0D04        ; UNASSIGNED  # <reserved>
0D05..0D0C  ; PVALID      # MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC
0D0D        ; UNASSIGNED  # <reserved>
0D0E..0D10  ; PVALID      # MALAYALAM LETTER E..MALAYALAM LETTER AI
0D11        ; UNASSIGNED  # <reserved>
0D12..0D28  ; PVALID      # MALAYALAM LETTER O..MALAYALAM LETTER NA
0D29        ; UNASSIGNED  # <reserved>
0D2A..0D39  ; PVALID      # MALAYALAM LETTER PA..MALAYALAM LETTER HA
0D3A..0D3C  ; UNASSIGNED  # <reserved>..<reserved>
0D3D..0D44  ; PVALID      # MALAYALAM SIGN AVAGRAHA..MALAYALAM VOWEL SIG
0D45        ; UNASSIGNED  # <reserved>
0D46..0D48  ; PVALID      # MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN
0D49        ; UNASSIGNED  # <reserved>
0D4A..0D4D  ; PVALID      # MALAYALAM VOWEL SIGN O..MALAYALAM SIGN VIRAM
0D4E..0D56  ; UNASSIGNED  # <reserved>..<reserved>
0D57        ; PVALID      # MALAYALAM AU LENGTH MARK
0D58..0D5F  ; UNASSIGNED  # <reserved>..<reserved>
0D60..0D63  ; PVALID      # MALAYALAM LETTER VOCALIC RR..MALAYALAM VOWEL
0D64..0D65  ; UNASSIGNED  # <reserved>..<reserved>
0D66..0D6F  ; PVALID      # MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D70..0D75  ; DISALLOWED  # MALAYALAM NUMBER TEN..MALAYALAM FRACTION THR
0D76..0D78  ; UNASSIGNED  # <reserved>..<reserved>
0D79        ; DISALLOWED  # MALAYALAM DATE MARK
0D7A..0D7F  ; PVALID      # MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER
0D80..0D81  ; UNASSIGNED  # <reserved>..<reserved>
0D82..0D83  ; PVALID      # SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARG
0D84        ; UNASSIGNED  # <reserved>
0D85..0D96  ; PVALID      # SINHALA LETTER AYANNA..SINHALA LETTER AUYANN
0D97..0D99  ; UNASSIGNED  # <reserved>..<reserved>
0D9A..0DB1  ; PVALID      # SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA L
0DB2        ; UNASSIGNED  # <reserved>
0DB3..0DBB  ; PVALID      # SINHALA LETTER SANYAKA DAYANNA..SINHALA LETT
0DBC        ; UNASSIGNED  # <reserved>
0DBD        ; PVALID      # SINHALA LETTER DANTAJA LAYANNA
0DBE..0DBF  ; UNASSIGNED  # <reserved>..<reserved>
0DC0..0DC6  ; PVALID      # SINHALA LETTER VAYANNA..SINHALA LETTER FAYAN
0DC7..0DC9  ; UNASSIGNED  # <reserved>..<reserved>
0DCA        ; PVALID      # SINHALA SIGN AL-LAKUNA
0DCB..0DCE  ; UNASSIGNED  # <reserved>..<reserved>
0DCF..0DD4  ; PVALID      # SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL
0DD5        ; UNASSIGNED  # <reserved>
0DD6        ; PVALID      # SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD7        ; UNASSIGNED  # <reserved>
0DD8..0DDF  ; PVALID      # SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOW
0DE0..0DF1  ; UNASSIGNED  # <reserved>..<reserved>
0DF2..0DF3  ; PVALID      # SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHAL
0DF4        ; DISALLOWED  # SINHALA PUNCTUATION KUNDDALIYA
0DF5..0E00  ; UNASSIGNED  # <reserved>..<reserved>
0E01..0E32  ; PVALID      # THAI CHARACTER KO KAI..THAI CHARACTER SARA A
0E33        ; DISALLOWED  # THAI CHARACTER SARA AM
0E34..0E3A  ; PVALID      # THAI CHARACTER SARA I..THAI CHARACTER PHINTH
0E3B..0E3E  ; UNASSIGNED  # <reserved>..<reserved>
0E3F        ; DISALLOWED  # THAI CURRENCY SYMBOL BAHT
0E40..0E4E  ; PVALID      # THAI CHARACTER SARA E..THAI CHARACTER YAMAKK
0E4F        ; DISALLOWED  # THAI CHARACTER FONGMAN
0E50..0E59  ; PVALID      # THAI DIGIT ZERO..THAI DIGIT NINE
0E5A..0E5B  ; DISALLOWED  # THAI CHARACTER ANGKHANKHU..THAI CHARACTER KH
0E5C..0E80  ; UNASSIGNED  # <reserved>..<reserved>
0E81..0E82  ; PVALID      # LAO LETTER KO..LAO LETTER KHO SUNG
0E83        ; UNASSIGNED  # <reserved>
0E84        ; PVALID      # LAO LETTER KHO TAM
0E85..0E86  ; UNASSIGNED  # <reserved>..<reserved>
0E87..0E88  ; PVALID      # LAO LETTER NGO..LAO LETTER CO
0E89        ; UNASSIGNED  # <reserved>
0E8A        ; PVALID      # LAO LETTER SO TAM
0E8B..0E8C  ; UNASSIGNED  # <reserved>..<reserved>
0E8D        ; PVALID      # LAO LETTER NYO
0E8E..0E93  ; UNASSIGNED  # <reserved>..<reserved>
0E94..0E97  ; PVALID      # LAO LETTER DO..LAO LETTER THO TAM
0E98        ; UNASSIGNED  # <reserved>
0E99..0E9F  ; PVALID      # LAO LETTER NO..LAO LETTER FO SUNG
0EA0        ; UNASSIGNED  # <reserved>
0EA1..0EA3  ; PVALID      # LAO LETTER MO..LAO LETTER LO LING
0EA4        ; UNASSIGNED  # <reserved>
0EA5        ; PVALID      # LAO LETTER LO LOOT
0EA6        ; UNASSIGNED  # <reserved>
0EA7        ; PVALID      # LAO LETTER WO
0EA8..0EA9  ; UNASSIGNED  # <reserved>..<reserved>
0EAA..0EAB  ; PVALID      # LAO LETTER SO SUNG..LAO LETTER HO SUNG
0EAC        ; UNASSIGNED  # <reserved>
0EAD..0EB2  ; PVALID      # LAO LETTER O..LAO VOWEL SIGN AA
0EB3        ; DISALLOWED  # LAO VOWEL SIGN AM
0EB4..0EB9  ; PVALID      # LAO VOWEL SIGN I..LAO VOWEL SIGN UU
0EBA        ; UNASSIGNED  # <reserved>
0EBB..0EBD  ; PVALID      # LAO VOWEL SIGN MAI KON..LAO SEMIVOWEL SIGN N
0EBE..0EBF  ; UNASSIGNED  # <reserved>..<reserved>
0EC0..0EC4  ; PVALID      # LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC5        ; UNASSIGNED  # <reserved>
0EC6        ; PVALID      # LAO KO LA
0EC7        ; UNASSIGNED  # <reserved>
0EC8..0ECD  ; PVALID      # LAO TONE MAI EK..LAO NIGGAHITA
0ECE..0ECF  ; UNASSIGNED  # <reserved>..<reserved>
0ED0..0ED9  ; PVALID      # LAO DIGIT ZERO..LAO DIGIT NINE
0EDA..0EDB  ; UNASSIGNED  # <reserved>..<reserved>
0EDC..0EDD  ; DISALLOWED  # LAO HO NO..LAO HO MO
0EDE..0EFF  ; UNASSIGNED  # <reserved>..<reserved>
0F00        ; PVALID      # TIBETAN SYLLABLE OM
0F01..0F0A  ; DISALLOWED  # TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBET
0F0B        ; PVALID      # TIBETAN MARK INTERSYLLABIC TSHEG
0F0C..0F17  ; DISALLOWED  # TIBETAN MARK DELIMITER TSHEG BSTAR..TIBETAN
0F18..0F19  ; PVALID      # TIBETAN ASTROLOGICAL SIGN -KHYUD PA..TIBETAN
0F1A..0F1F  ; DISALLOWED  # TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RD
0F20..0F29  ; PVALID      # TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F2A..0F34  ; DISALLOWED  # TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS R
0F35        ; PVALID      # TIBETAN MARK NGAS BZUNG NYI ZLA
0F36        ; DISALLOWED  # TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37        ; PVALID      # TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38        ; DISALLOWED  # TIBETAN MARK CHE MGO
0F39        ; PVALID      # TIBETAN MARK TSA -PHRU
0F3A..0F3D  ; DISALLOWED  # TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK AN
0F3E..0F42  ; PVALID      # TIBETAN SIGN YAR TSHES..TIBETAN LETTER GA
0F43        ; DISALLOWED  # TIBETAN LETTER GHA
0F44..0F47  ; PVALID      # TIBETAN LETTER NGA..TIBETAN LETTER JA
0F48        ; UNASSIGNED  # <reserved>
0F49..0F4C  ; PVALID      # TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4D        ; DISALLOWED  # TIBETAN LETTER DDHA
0F4E..0F51  ; PVALID      # TIBETAN LETTER NNA..TIBETAN LETTER DA
0F52        ; DISALLOWED  # TIBETAN LETTER DHA
0F53..0F56  ; PVALID      # TIBETAN LETTER NA..TIBETAN LETTER BA
0F57        ; DISALLOWED  # TIBETAN LETTER BHA
0F58..0F5B  ; PVALID      # TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5C        ; DISALLOWED  # TIBETAN LETTER DZHA
0F5D..0F68  ; PVALID      # TIBETAN LETTER WA..TIBETAN LETTER A
0F69        ; DISALLOWED  # TIBETAN LETTER KSSA
0F6A..0F6C  ; PVALID      # TIBETAN LETTER FIXED-FORM RA..TIBETAN LETTER
0F6D..0F70  ; UNASSIGNED  # <reserved>..<reserved>
0F71..0F72  ; PVALID      # TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F73        ; DISALLOWED  # TIBETAN VOWEL SIGN II
0F74        ; PVALID      # TIBETAN VOWEL SIGN U
0F75..0F79  ; DISALLOWED  # TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VO
0F7A..0F80  ; PVALID      # TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REV
0F81        ; DISALLOWED  # TIBETAN VOWEL SIGN REVERSED II
0F82..0F84  ; PVALID      # TIBETAN SIGN NYI ZLA NAA DA..TIBETAN MARK HA
0F85        ; DISALLOWED  # TIBETAN MARK PALUTA
0F86..0F8B  ; PVALID      # TIBETAN SIGN LCI RTAGS..TIBETAN SIGN GRU MED
0F8C..0F8F  ; UNASSIGNED  # <reserved>..<reserved>
0F90..0F92  ; PVALID      # TIBETAN SUBJOINED LETTER KA..TIBETAN SUBJOIN
0F93        ; DISALLOWED  # TIBETAN SUBJOINED LETTER GHA
0F94..0F97  ; PVALID      # TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOI
0F98        ; UNASSIGNED  # <reserved>
0F99..0F9C  ; PVALID      # TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOI
0F9D        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DDHA
0F9E..0FA1  ; PVALID      # TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOI
0FA2        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DHA
0FA3..0FA6  ; PVALID      # TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOIN
0FA7        ; DISALLOWED  # TIBETAN SUBJOINED LETTER BHA
0FA8..0FAB  ; PVALID      # TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOIN
0FAC        ; DISALLOWED  # TIBETAN SUBJOINED LETTER DZHA
0FAD..0FB8  ; PVALID      # TIBETAN SUBJOINED LETTER WA..TIBETAN SUBJOIN
0FB9        ; DISALLOWED  # TIBETAN SUBJOINED LETTER KSSA
0FBA..0FBC  ; PVALID      # TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBE
0FBD        ; UNASSIGNED  # <reserved>
0FBE..0FC5  ; DISALLOWED  # TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC6        ; PVALID      # TIBETAN SYMBOL PADMA GDAN
0FC7..0FCC  ; DISALLOWED  # TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SY
0FCD        ; UNASSIGNED  # <reserved>
0FCE..0FD8  ; DISALLOWED  # TIBETAN SIGN RDEL NAG RDEL DKAR..LEFT-FACING
0FD9..0FFF  ; UNASSIGNED  # <reserved>..<reserved>
1000..1049  ; PVALID      # MYANMAR LETTER KA..MYANMAR DIGIT NINE
10000..1000B; PVALID      # LINEAR B SYLLABLE B008 A..LINEAR B SYLLABLE
1000C       ; UNASSIGNED  # <reserved>
1000D..10026; PVALID      # LINEAR B SYLLABLE B036 JO..LINEAR B SYLLABLE
10027       ; UNASSIGNED  # <reserved>
10028..1003A; PVALID      # LINEAR B SYLLABLE B060 RA..LINEAR B SYLLABLE
1003B       ; UNASSIGNED  # <reserved>
1003C..1003D; PVALID      # LINEAR B SYLLABLE B017 ZA..LINEAR B SYLLABLE
1003E       ; UNASSIGNED  # <reserved>
1003F..1004D; PVALID      # LINEAR B SYLLABLE B020 ZO..LINEAR B SYLLABLE
1004E..1004F; UNASSIGNED  # <reserved>..<reserved>
10050..1005D; PVALID      # LINEAR B SYMBOL B018..LINEAR B SYMBOL B089
1005E..1007F; UNASSIGNED  # <reserved>..<reserved>
10080..100FA; PVALID      # LINEAR B IDEOGRAM B100 MAN..LINEAR B IDEOGRA
100FB..100FF; UNASSIGNED  # <reserved>..<reserved>
10100..10102; DISALLOWED  # AEGEAN WORD SEPARATOR LINE..AEGEAN CHECK MAR
10103..10106; UNASSIGNED  # <reserved>..<reserved>
10107..10133; DISALLOWED  # AEGEAN NUMBER ONE..AEGEAN NUMBER NINETY THOU
10134..10136; UNASSIGNED  # <reserved>..<reserved>
10137..1018A; DISALLOWED  # AEGEAN WEIGHT BASE UNIT..GREEK ZERO SIGN
1018B..1018F; UNASSIGNED  # <reserved>..<reserved>
10190..1019B; DISALLOWED  # ROMAN SEXTANS SIGN..ROMAN CENTURIAL SIGN
1019C..101CF; UNASSIGNED  # <reserved>..<reserved>
101D0..101FC; DISALLOWED  # PHAISTOS DISC SIGN PEDESTRIAN..PHAISTOS DISC
101FD       ; PVALID      # PHAISTOS DISC SIGN COMBINING OBLIQUE STROKE
101FE..1027F; UNASSIGNED  # <reserved>..<reserved>
10280..1029C; PVALID      # LYCIAN LETTER A..LYCIAN LETTER X
1029D..1029F; UNASSIGNED  # <reserved>..<reserved>
102A0..102D0; PVALID      # CARIAN LETTER A..CARIAN LETTER UUU3
102D1..102FF; UNASSIGNED  # <reserved>..<reserved>
10300..1031E; PVALID      # OLD ITALIC LETTER A..OLD ITALIC LETTER UU
1031F       ; UNASSIGNED  # <reserved>
10320..10323; DISALLOWED  # OLD ITALIC NUMERAL ONE..OLD ITALIC NUMERAL F
10324..1032F; UNASSIGNED  # <reserved>..<reserved>
10330..10340; PVALID      # GOTHIC LETTER AHSA..GOTHIC LETTER PAIRTHRA
10341       ; DISALLOWED  # GOTHIC LETTER NINETY
10342..10349; PVALID      # GOTHIC LETTER RAIDA..GOTHIC LETTER OTHAL
1034A       ; DISALLOWED  # GOTHIC LETTER NINE HUNDRED
1034B..1037F; UNASSIGNED  # <reserved>..<reserved>
10380..1039D; PVALID      # UGARITIC LETTER ALPA..UGARITIC LETTER SSU
1039E       ; UNASSIGNED  # <reserved>
1039F       ; DISALLOWED  # UGARITIC WORD DIVIDER
103A0..103C3; PVALID      # OLD PERSIAN SIGN A..OLD PERSIAN SIGN HA
103C4..103C7; UNASSIGNED  # <reserved>..<reserved>
103C8..103CF; PVALID      # OLD PERSIAN SIGN AURAMAZDAA..OLD PERSIAN SIG
103D0..103D5; DISALLOWED  # OLD PERSIAN WORD DIVIDER..OLD PERSIAN NUMBER
103D6..103FF; UNASSIGNED  # <reserved>..<reserved>
10400..10427; DISALLOWED  # DESERET CAPITAL LETTER LONG I..DESERET CAPIT
10428..1049D; PVALID      # DESERET SMALL LETTER LONG I..OSMANYA LETTER
1049E..1049F; UNASSIGNED  # <reserved>..<reserved>
104A..104F  ; DISALLOWED  # MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL
104A0..104A9; PVALID      # OSMANYA DIGIT ZERO..OSMANYA DIGIT NINE
104AA..107FF; UNASSIGNED  # <reserved>..<reserved>
1050..109D  ; PVALID      # MYANMAR LETTER SHA..MYANMAR VOWEL SIGN AITON
10800..10805; PVALID      # CYPRIOT SYLLABLE A..CYPRIOT SYLLABLE JA
10806..10807; UNASSIGNED  # <reserved>..<reserved>
10808       ; PVALID      # CYPRIOT SYLLABLE JO
10809       ; UNASSIGNED  # <reserved>
1080A..10835; PVALID      # CYPRIOT SYLLABLE KA..CYPRIOT SYLLABLE WO
10836       ; UNASSIGNED  # <reserved>
10837..10838; PVALID      # CYPRIOT SYLLABLE XA..CYPRIOT SYLLABLE XE
10839..1083B; UNASSIGNED  # <reserved>..<reserved>
1083C       ; PVALID      # CYPRIOT SYLLABLE ZA
1083D..1083E; UNASSIGNED  # <reserved>..<reserved>
1083F..10855; PVALID      # CYPRIOT SYLLABLE ZO..IMPERIAL ARAMAIC LETTER
10856       ; UNASSIGNED  # <reserved>
10857..1085F; DISALLOWED  # IMPERIAL ARAMAIC SECTION SIGN..IMPERIAL ARAM
10860..108FF; UNASSIGNED  # <reserved>..<reserved>
10900..10915; PVALID      # PHOENICIAN LETTER ALF..PHOENICIAN LETTER TAU
10916..1091B; DISALLOWED  # PHOENICIAN NUMBER ONE..PHOENICIAN NUMBER THR
1091C..1091E; UNASSIGNED  # <reserved>..<reserved>
1091F       ; DISALLOWED  # PHOENICIAN WORD SEPARATOR
10920..10939; PVALID      # LYDIAN LETTER A..LYDIAN LETTER C
1093A..1093E; UNASSIGNED  # <reserved>..<reserved>
1093F       ; DISALLOWED  # LYDIAN TRIANGULAR MARK
10940..109FF; UNASSIGNED  # <reserved>..<reserved>
109E..10C5  ; DISALLOWED  # MYANMAR SYMBOL SHAN ONE..GEORGIAN CAPITAL LE
10A00..10A03; PVALID      # KHAROSHTHI LETTER A..KHAROSHTHI VOWEL SIGN V
10A04       ; UNASSIGNED  # <reserved>
10A05..10A06; PVALID      # KHAROSHTHI VOWEL SIGN E..KHAROSHTHI VOWEL SI
10A07..10A0B; UNASSIGNED  # <reserved>..<reserved>
10A0C..10A13; PVALID      # KHAROSHTHI VOWEL LENGTH MARK..KHAROSHTHI LET
10A14       ; UNASSIGNED  # <reserved>
10A15..10A17; PVALID      # KHAROSHTHI LETTER CA..KHAROSHTHI LETTER JA
10A18       ; UNASSIGNED  # <reserved>
10A19..10A33; PVALID      # KHAROSHTHI LETTER NYA..KHAROSHTHI LETTER TTT
10A34..10A37; UNASSIGNED  # <reserved>..<reserved>
10A38..10A3A; PVALID      # KHAROSHTHI SIGN BAR ABOVE..KHAROSHTHI SIGN D
10A3B..10A3E; UNASSIGNED  # <reserved>..<reserved>
10A3F       ; PVALID      # KHAROSHTHI VIRAMA
10A40..10A47; DISALLOWED  # KHAROSHTHI DIGIT ONE..KHAROSHTHI NUMBER ONE
10A48..10A4F; UNASSIGNED  # <reserved>..<reserved>
10A50..10A58; DISALLOWED  # KHAROSHTHI PUNCTUATION DOT..KHAROSHTHI PUNCT
10A59..10A5F; UNASSIGNED  # <reserved>..<reserved>
10A60..10A7C; PVALID      # OLD SOUTH ARABIAN LETTER HE..OLD SOUTH ARABI
10A7D..10A7F; DISALLOWED  # OLD SOUTH ARABIAN NUMBER ONE..OLD SOUTH ARAB
10A80..10AFF; UNASSIGNED  # <reserved>..<reserved>
10B00..10B35; PVALID      # AVESTAN LETTER A..AVESTAN LETTER HE
10B36..10B38; UNASSIGNED  # <reserved>..<reserved>
10B39..10B3F; DISALLOWED  # AVESTAN ABBREVIATION MARK..LARGE ONE RING OV
10B40..10B55; PVALID      # INSCRIPTIONAL PARTHIAN LETTER ALEPH..INSCRIP
10B56..10B57; UNASSIGNED  # <reserved>..<reserved>
10B58..10B5F; DISALLOWED  # INSCRIPTIONAL PARTHIAN NUMBER ONE..INSCRIPTI
10B60..10B72; PVALID      # INSCRIPTIONAL PAHLAVI LETTER ALEPH..INSCRIPT
10B73..10B77; UNASSIGNED  # <reserved>..<reserved>
10B78..10B7F; DISALLOWED  # INSCRIPTIONAL PAHLAVI NUMBER ONE..INSCRIPTIO
10B80..10BFF; UNASSIGNED  # <reserved>..<reserved>
10C00..10C48; PVALID      # OLD TURKIC LETTER ORKHON A..OLD TURKIC LETTE
